subject,relation,object
Tehran University of Medical Sciences,of University is,Iran4 Hematology
Cells,were cultured in,Dulbecco ’s Modified Eagle Medium F12 supplemented with fetal serum
Van Rooij N van Buuren MM Philips exome analysis,reveals,neoantigen specific T cell reactivity
BICR cell,was,cultured in DMEM with 500ug ml G418
Human tumor xenografted models,mimicking situations in,terms biological features
growth factor receptor tyrosine kinase inhibitors,have,In past few decades have most commonly used as targeted therapy
biomarkers,capture,only tumor biological features linked with CTC enrichment
Radiation Oncology Center,is,Department of Experimental
based chemotherapy,reduce,MDSCs in cancer
anti-tumor gene,is in,Hep 2 cells
Perth Cancer & Palliative Care Health Network,is,Department of Health
diagnostic biomarkers,are,In addition with fast development of liquid biopsy of cancer diagnosis urgently needed for scale studies
C12 heavy ion beam therapy,theoretically offers,biological advantages
Japan Research and Development Center for New Medical Frontiers,is,Kitasato University School of Medicine
human IgG4 anti-PD-1 antibodies,approved as,second line therapy metastatic HNSCC US FDA
Gao G Ren S Li Xu J Xu Q Su C growth factor receptor tyrosine kinase inhibitor therapy,is effective as,first line treatment of advanced lung cancer with mutated EGFR
Activated caspase 8,triggers pathway by,BH3 interacting domain death agonist
Kapodistrian University of Athens School of Medicine,dDivision of,"Hematology / Oncology , University of Pittsburgh School of Medicine"
Regenerative Medicine,is,Juntendo University School of Medicine
Fred Hutchinson Cancer Research Center,Department of,WA USA Department of Biostatistics
medial laparotomy,was,performed with surgical resection of anterior area simultaneously with left nephrectomy
Anti-VEGFR monoclonal antibodies,is,monoclonal antibody
Oncology,of Laboratory is,Collaborative Innovation Center for Cancer Medicine
Targeted therapy,is with,epidermal growth factor receptor
CAR T cell platforms,are under,active trials for refractory multiple myeloma
Thoracic surgeon,is more and more familiar with,use of ECMO especially in era
CAR T cell platforms,are under,active clinical trials for myeloma
Respiratory Medicine,of Department is,Nihon University School of Dentistry
bound antibody,was conjugated with,conjugated antibody
clinical treatment,However should differ due,biological behaviour of rectal mucinous adenocarcinoma
animal studies,were approved by,Ethics Committee of Animal Experiments of Peking University Cancer Hospital
Korea University Ansan Hospital,is,Korea University College of Medicine
effective biomarkers,should ideally incorporate,features of tumor
1st TKI therapy,median duration of was,afatinib group
EML4 ALKEchinoderm,fused to,lymphoma kinase
B cells measured,was associated with,positive prognosis in LUAD cohort
Surgical Oncology,of Division is,Japan Department of Surgery
Department of Medical Oncology,Department of,Italy Department of Medical Oncology
serum molecular diagnostic model,was,In study established for time by BME cytokines
stem cell exosomes,enhance,periodontal ligament cell functions
Department of Radiation Oncology,of Department is,Sun Yat - Sen University Cancer Center
Peter Doherty Institute for Infection and Immunity,at Department is,Australia Department of Surgery
Department of Interventional Radiology,of Department is,Department of Dermatology
Li D Yeung SC Hassan MM Konopleva M Abbruzzese JL Antidiabetic therapies,affect,risk of cancer Gastroenterology
Department of Anatomic Pathology,of Department is,Tom Baker Cancer Centre
Research Dual EGFR blockade,combined with,antibody bevacizumab in advanced solid tumors
Department of Medical Oncology,Laboratory of,State Key Laboratory of Oncology
Institute of Biotechnology,of Institute is,Taiwan Department of Pathology and Laboratory Medicine
Department of Oncology,of Department is,Shanghai University of Traditional Chinese Medicine
SMR3A Myc DDK transgene expression,was confirmed by,Western blot analysis
BH3 profiles,be,associated with treatment response in cancer to serve
adjuvant chemo radiotherapy plays,However still role in,integrated therapy
model imaging BALB c mice,were provided by,Comparative Medical Center of Yang Zhou University
Inadomi K Kumagai H Arita S Tsuruta N Takayoshi K Mishima K Ota S Tanaka M Okumura Y Sagara K Bi-cytopenia,possibly induced by,anti-PD-1 antibody for melanoma of esophagus
major histologic types,is in,Korean men Cancer Epidemiol Biomark
serum CYFRA 21 1 assay,has,In our department has routinely performed at diagnostic workup after radiation based therapy since 2005
Pharmacology,Faculty of,Medicine
Primary Sjögren ’s syndrome,is,in primary Sjögren ’s syndrome chronic autoimmune disorder characterized by focal lymphocytic infiltration
Okayama University Graduate School of Medicine,is,Dentistry and Pharmaceutical Sciences
Cells,incubated overnight with,primary antibody
miRNAs,have become,because they are promising for use as biomarkers for various cancer diseases
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted with Fc region
cetuximab,was found,radiosensitizer for head cancer
Major lung resection,may cause,right heart failure with large left right shunt
based protein profiling,reveals,broad dysregulation in cancer ACS Chem Biol 2015 10 7
ROCK kinase inhibitor fasudil,was small molecule for,clinical use
Department of Dermatology,is,"Perelman Center for Advanced Medicine , Hospital of the University of Pennsylvania"
Immunohistochemistry,analyze expression in,NSCLC tissue samples
Medical Oncology,of Department is,Zhengzhou University & Henan Cancer Hospital
primary PDAC cell line PC013,was,propagated from PDAC tumor tissue biopsies as described
Department of Radiation Oncology,Department of,Japan Department of Radiation Oncology
miRNAs,expressed higher,while miRNAs expressed
Novel pancreatic cancer cell lines,derived from,engineered mouse models
Such clinical significance,could,could confirmed by bioactivities
functional lncRNAs,is in,cardiac hypertrophy Oncotarget
Biostatistics and Prevention Institute,Institute for,National Institute for Health Development
specific immunohistochemical markers,can,can very useful in diagnosis of rectal cancer
"Department of Molecular Medicine , School of Advanced Medical Technologies",is,Tehran University of Medical Sciences
Yue J Yu Z Tumor marker index,is factor for,patients with esophageal cell carcinoma Cancer Biomark Sect A Disease
Pembrolizumab,is,IgG4 antibody consisting of high affinity mouse anti-PD-1-derived region grafted with engineered Fc region
China Department of Thoracic Medical Oncology,is,Peking University School of Oncology
diabetic severe immunodeficient xenograft model,reflects,important clinical characteristics
Center for Cancer Control and Information Services,is,National Cancer Canter
Respiratory Care Medicine,Hospital of,First Affiliated Hospital of Guangxi Medical University
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto human IgG4 immunoglobulin molecule with Fc region for stabilization
prognostic biomarkers,Therefore should ideally incorporate,features of tumor leading
In blood brain barrier assay Short term melanoma cultures,were obtained from,resected MBMs
Yue J Yu Z Tumor marker index,is significant prognostic factor for,patients with squamous cell carcinoma Cancer Biomark Sect A Disease
Department of Obstetrics and Gynecology,Department of,Japan Department of Pathology
Methods Patient characteristics SBRT,was,delivered for 30 patients from October 2006 at Tianjin Medical University Cancer Institute
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted with Fc region for stabilization
Her laboratory research,developing,improved strategies for clinically relevant molecular subsets of lung cancer
Precise tumor margin identification,are,crucial for cure in types of tumors
concurrent chemoradiotherapy,is,As standard of care for HNSCC
Interventional Radiology and Neuroradiology,is,University Hospital Essen
Recent cancer genomics projects,have created,comprehensive catalog across major cancer types
Structural Biology,is,University of Texas Health Science Center
"School of Medicine , College of Medicine",is,Taipei Medical University
Bioinformatic analysis,reveals,pattern of STAT3 associated gene expression specific
Department of Medical Oncology,of Department is,Peter MacCallum Cancer Centre
Ireland School of Medicine,is,Trinity Biomedical Sciences Institute
First Department of Medical Oncology,is,Henry Dunant Hospital Center
University Division of Applied Pharmaceutical Education and Research,Department of,Department of Thoracic Medical Oncology
AChE binding tail PRiMA,is,down regulated with dystrophy by merosin deficiency Chem Biol Interact 2013 203 330 334
Conclusions DCE MRI,may provide,information on fraction of squamous cell carcinoma of uterine cervix
APC gene,has,has reported as tumor suppressor in colorectal cancer
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted onto human IgG4 immunoglobulin molecule with Fc region for stabilization
Department of Internal Medicine,is,Erzurum Region Education and Research Hospital
Research Neoadjuvant concurrent chemoradiotherapy,followed by,transanal total mesorectal excision assisted for lying rectal adenocarcinoma
Department of Pathology,is,Liaquat National Hospital and Medical College
miRNAs,now serve as,cancer biomarkers
using immunohistochemical staining,is with,Ki 67 mouse monoclonal antibody
Tumor bearing nude mice model construction BALB c mice,were purchased from,Beijing Laboratory Animal Research Center
Hamon Center for Therapeutic Oncology Research and Department of Pathology,is,University of Texas Southwestern Medical Center
radical tumor resection,are,crucial for cure in types of tumors
human ESCC cell line TE cells,were obtained from,Cell Bank of Shanghai Institutes for Biological Sciences
candidate related circRNAs,validated,expression of circRNAs
Precise genome editing,also holds,great promise for genetic disease genes
study medication,were,covered by pharmaceutical company
Mouse tumor models,is in,three different mouse tumor models
radiologist,reviewed,LDCT of subjects with pleural abnormalities
Engineering Center of Endoscopy Diagnosis and Treatment,of Center is,Clinical Medical Research Center for Digestive Diseases
Murine model imaging BALB c nude mice,were provided by,Comparative Medical Center of Yang Zhou University
Physical Medicine and Rehabilitation,of Division is,Cumming School of Medicine
Thoracic Oncology,of Department is,Cancer Center
Several clinical trials,reported,clinical response of patients with mutations
MeDIP CGI microarray,showed In,HSC 2 cell line
Pembrolizumab,is,humanized IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with engineered Fc region for stabilization
USA Departments of Simmons Comprehensive Cancer Center,is,University of Texas Southwestern Medical Center
HEK293T cells,were,For luciferase reporter assay co-transfected with pGL3 p53 Luc
serum diagnostic model,was,In study established for first time by BME cytokines
based synthetic lethal therapy,are,targeted at oncogenes
Methods Patient characteristics SBRT,was,delivered for 30 patients to June 2016 at Tianjin Medical University Cancer Institute
Affymetrix Human Exon 1.0 ST array hybridisation,was,performed at Molecular Biology Core Facility
Immunology Database,is repository for,clinical data
employing biomarkers,capture,tumor features
Department of Radiology,of Department is,Shanghai Medical College
Department of Epidemiology and Biostatistics,is,Nanjing Medical University
biological mechanisms,ensure,identification of useful biomarkers
"Epidemiology , School of Public Health",is,China Medical University
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % to 0.005 % of Ex19_std in total DNA concentration assay from 0.25 ng μl
Department of Radiotherapy,is,Tianjin Medical University Cancer Institute and Hospital
biomarker research,has,has focused on tumor signatures
Department of Pathology and Laboratory Medicine,of Department is,University of Vermont College of Medicine
Department of System Biology,is,Beckman Research Institute
anti-tyrosine-protein kinase receptor,was,For example employed for recognition of breast cancer
human ESCC cell line TE 1 cells,were obtained from,Cell Bank for Biological Sciences
Chest computed tomography scan,revealing,endobronchial shadow associated with atelectasis of right upper lobe
Western blot analysis,confirmed,higher expression in OSCC cells
Department of Oncology,of Department is,"Institute of Clinical Immunology , Yueyang Hospital of Integrated"
MSI subtypes,were next identified through,immunohistochemistry
Kinoshita T Nohata microRNA 29s,inhibit migration by,targeting laminin integrin signalling in head
diagnostic biomarkers,are,In addition with development of liquid biopsy of cancer diagnosis needed for scale prospective studies
Vascular endothelial growth factor,plays role by,dendritic cell
Cao Y Wang L Nandy D Zhang Y Basu Radisky D Neuropilin,upholds,dedifferentiation phenotypes of renal cell carcinoma cells
radiotherapy,has become,cornerstone of adjuvant therapy for rectal cancer
ROCK kinase inhibitor fasudil,was approved molecule for,clinical use
c Tumorsphere formation assay,showed,effects of JARID1B knockdown in tumorspheres
Western blot analysis,showed expression levels upon,transfection with miR 124
Predictive biomarkers,is in,precision medicine
Department of Gastrointestinal Oncology,of Department is,Sun Yat - sen University Cancer Center
Research Neoadjuvant chemoradiotherapy,followed by,transanal total mesorectal excision assisted by port surgery for lying rectal adenocarcinoma
Xenograft experiments,were,purchased from Vital River Laboratory Animal Technology Co.
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule with Fc region
Biostatistics,is,The University of Texas MD Anderson Cancer Center
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody
Department of Radiation Oncology,of Department is,South Korea3 Department of Radiology
AGS Gr cells,were transfected twice with,siRNA targeting CCKBR
Thoracic surgeon,is now more and more familiar with,use of ECMO
USA Departamento de Bioquímica,is,Instituto de Química
our top 50 miRNAs,were proved,to breast cancer related miRNAs
biomarkers serum levels,were,measured with chemiluminescent microparticle immunoassay for CEA with immuno assay
tissue microarray,was purchased from,Shanghai Biochip Co.
Department of Internal Medicine,is,Seoul National University College of Medicine
Targeted sequencing,reveals TP53 as,potential diagnostic biomarker
ICD BRAFV600E mutation,impeded,induction of ICD Pozzi
Nadu India Centre for Oncology,is,Government Royapettah Hospital & Kilpauk Medical College
Department of Stomatology,of Department is,"USA Department of Preventive Medicine , School of Medicine"
Basic Medicine College,Republic on,Traditional Chinese Medicine
anti-tyrosine-protein kinase receptor,was,For example employed for recognition of HER2 positive breast cancer
Clinical applications,would require,standardization of assays including determination for distinguishing tumors with TMB
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived region grafted onto human IgG4 immunoglobulin molecule with Fc region
Conclusion HNSCC cell line xenograft growth,can,can assessed in CAM assays in manner consistent with mouse xenograft assays
Hofman V Preoperative tumor cell detection,is,prognostic biomarker
Affiliated Stomatological Hospital of Nanchang University,of Hospital is,Key Laboratory
Department of Pulmonology and Immunology,Department of,Lithuania Department of Pathology
Yue J Yu Z Tumor marker index,is prognostic factor for,patients with esophageal squamous cell carcinoma Cancer Biomark Sect A Disease
specific miRNA signature,is in,peripheral blood of glioblastoma patients J Neurochem
successful therapeutic bronchoscopy,is associated with,survival in malignant CAO
Cell proliferation assay,were,For Cell Counting Kit 8 plated
diagnostic biomarkers,are,with development of biopsy of cancer diagnosis needed for scale prospective studies
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse variable region grafted with Fc region for stabilization
Huang stimulated TGF beta1 expression,is regulated by,protein kinase
phase II prospective clinical study,using,radiotherapy combined
Netherlands Department of Pathology,is,University Medical Center Utrecht
Cetuximab,is,targeted biological agent
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,response to chemoradiotherapy in locally advanced cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
Xenografted tumor model Female BALB c nude mice,were purchased from,Center of Experimental Animal of Guangzhou University of Chinese Medicine
Key Laboratory,Hospital of,Nanjing Medical University
Department of Radiation Oncology,Department of,Department of Radiation Oncology
Stem Cell Transplantation Research Center,School of,School of Medicine
Kanzaki M Kikkawa T Shimizu T Maeda H Wachi N Isaka T Presurgical planning,using,model of actual anatomy
Cell viabilities,were assessed by,MTS assay
Institute of Cancer Stem Cell,of Institute is,China Biotherapy Research Center
Diagnosis BRPC,was diagnosed via,16 - slice MDCT
Department of Radiation Oncology,of Department is,China Department of Radiation Oncology
Department of Medical Genetics,of Department is,Shahid Beheshti University of Medical Sciences
Department of Radiation Oncology,Department of,Radiation Oncology
Cell animal experiments data confirmed,explore,role of CHAF1B on cisplatin resistance by NCOR2
Rudolf Magnus Institute of Neuroscience,is,University Medical Center
Respiratory Oncology Unit,is,University Hospitals KU Leuven
Oncology / Hematology,is,Departments of Internal Medicine
Department of Oncology,School of,Medicine
Malabar Cancer Centre,is,tertiary care hospital under Department of Health situated in rural district of Kannur
Profiling Tumor Infiltrating Immune Cells,is with,CIBERSORT BT Cancer Systems Biology
Background Pancreatic resection,are tools in,multidisciplinary local treatment of pancreatic ductal adenocarcinoma
specific immunohistochemical markers,can,Thus can useful in correct diagnosis of cancer to thyroid carcinomas
UM SCC cell lines,test,effect of WNT974 on tumor growth on CAM on distant metastases to liver
Bevacizumab,was,first anti-VEGF antibody
clinical trials,explored,clinical application of MEK inhibitors
mouse tongue SCC cell line AT84,was provided by,Upstate Medical University
based protein profiling,reveals,broad dysregulation of PAFAH1B2 in cancer ACS Chem Biol 2015 10 7
Chinese medicine Fuzheng Kang Ai decoction,sensitized effect through,PI3 K Akt mediated MUC1 expression J Ethnopharmacol 2016 194 918 929
Department of Pathology,Hospital of,Second Xiangya Hospital of Central South University
Pembrolizumab,are,IgG4 anti-PD-1 antibodies approved as line therapy for metastatic HNSCC by US FDA
biofilm,constitutes,main etiological factor
human MIR10B gene,was,For expression in immortalized RDEB KCs cloned downstream of Pol III U6 promoter
three genomic measures,were used,covariates help in genes in lung cancer classifier
SMAC mimetics,promoting,Birinapant mediated anticancer activity
cell biologists,have identified,key role of epithelial mesenchymal transition in cancer cell metastasis
Cells,were treated in,figures with Aurora Inhibitor II
metabolomics,reveal,protective effect of Saponins of Tribulus terrestris fruit against ischemic stroke in rat
Tehran University of Medical Sciences,University of,Tehran University of Medical Sciences
employing single biomarkers,capture,tumor biological features
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region for stabilization
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted onto IgG4 immunoglobulin molecule with Fc region
IL 1 beta alpha 2 macroglobulin complex,upregulate,platelet derived growth factor alpha receptor on rat pulmonary fibroblasts
School of Health Sciences,of School is,Coloproctology Unit
human NSCLC cell line HCC827,were purchased from,Nanjing Cobioer Biological Science
Discussion Cardiac CT,offers,detailed assessment of CAD
Pembrolizumab,is,is evaluated in phase trials in combination with azacitadine
Primary Sjögren ’s syndrome,is,in Sjögren ’s syndrome chronic disorder characterized by infiltration
TMA construction specimens,resected at,Thoraxklinik at Heidelberg University
Aurora kinases,is in,mitotic spindle Open Biol
MIR10B gene,was,For stable expression in immortalized RDEB KCs cloned into pMX IRES Blasticidin vector
Xenograft assay BALB c nude mice,were purchased from,SLAC Laboratory Animal Co. Ltd.
Internal Medicine,is,Seoul National University Hospital
cancer fibroblast gene expression patterns,identify,features of tumour stroma crosstalk
diagnostic biomarkers,are,with fast development of liquid biopsy of cancer diagnosis needed for scale studies
Materials Cell lines,was,obtained from Laboratory
Malabar Cancer Centre,is,tertiary care hospital under Department situated in rural district of Kannur in North Kerala
Yue J Yu Z Tumor marker index,is prognostic factor for,patients with resectable esophageal squamous cell carcinoma Cancer Biomark Sect A Disease
Radiotherapy,can ameliorate,symptoms caused by primary tumor
MUC16 CA125 antigen,is,Moreover routinely used serum marker for diagnosis
"National Registry of Disease Office , Research & Surveillance Division",is,Health Promotion Board
Respiratory Medicine,Department of,Department of Pathology
Department of Radiation Oncology,is,Ordensklinikum Linz
Uonuma Institute of Community Medicine,is,Niigata University Medical and Dental Hospital
Department of Pathology,is,First Affiliated Hospital and College of Basic Medical Sciences of China Medical University
Saarland Cancer Registry,observed,"15,565 diagnoses"
cell biologists,have identified,key role of mesenchymal transition
T cells,has shown in,especially B cell leukemia with CAR T cells
Saitama Medical Center,is,Jichi Medical University
Pembrolizumab,is,is evaluated as therapy in PD L1 NSCLC patients
MBNL3 splicing factor,promotes carcinoma by,PXN expression through splicing of lncRNA PXN AS1 Cell Biol 2017 19 7
Shanghai Jiaotong University School of Medicine,of School is,Tongji University School of Medicine
T cells,were increased after,SB225002 treatment in lung cancer model
Xenografted tumor model Female BALB c mice,were purchased from,Center of Experimental Animal of Guangzhou University
Pembrolizumab,is,cancer immunotherapy used
Background Axitinib,is,active tyrosine kinase inhibitor of endothelial growth factor receptors 1 2
Radiotherapy,has,has established as treatment for tumors in ESCC patients
Cells,were,treated for 72 h with cetuximab
MUC16 CA125 antigen,is,Moreover routinely used serum marker for diagnosis of ovarian cancer
clinical studies,determine,treatment strategy with postoperative SCLC
Tumor differentiation,may,may categorized with stage tumor in situ
positive ANCA antibody,is in,setting of concurrent antigen specific antibody presence
Human tumor xenografted models,closely mimicking situations in,terms biological features
IL 24 gene,was,originally discovered by subtraction hybridization method by melanoma cells to terminal differentiation
Department of Surgery - Division of Public Health Sciences,of Department is,MO USA Division of Public Health Sciences
Shiba Ishii Noguchi M stratifin overexpression,is,regulated by associated CpG demethylation in lung adenocarcinoma
microvascular surgery Seminars,is in,Surgical Oncology 2000 19 226 234
PSMD,were,cancer driver genes with crucial role
Cogle CR Endothelial cell,derived,angiocrine support of acute myeloid leukemia targeted
specific immunohistochemical markers,can,can very useful in diagnosis of cancer to thyroid carcinomas
Near infrared guided surgery,improves,survival rate in orthotopic animal model of head
based chemotherapy,activity against,pancreatic ACC
Biomarker analysis,conducted on,designed EXTREME phase III trial of chemotherapy
Department of Pathology,of Department is,Medical University of Vienna
Sagittal resonance imaging study,showing normal high intensity signals in,lobe pituitary
Fourth Department of Internal Medicine,is,Teikyo University School of Medicine University Hospital
Thoracic Oncology,of Department is,West China Hospital
Cui G Li C Xu G Sun Z Zhu L Li Z Zheng W Li J Yuan A fibroblasts,contribute to,"expression of immunosuppressive factor indoleamine 2,3 dioxygenase"
PSMD,were,cancer driver genes with crucial role with also RPN1 2
clinical data,Int,J Radiat Oncol Biol Phys 1996 36 247 251
Western blot analysis,is with,anti-rTCS monoclonal antibody
Department of Interventional Radiology,School of,Shanghai Jiao Tong University School of Medicine
Background Interleukin 2,is,important immunotherapy cytokine for diseases
MACS,label CTCs with,anti-cytokeratin 8 monoclonal antibody
China Department of Pathology,is,Rui Jin Hospital Lu Wan Branch
Department of Pathology,of Department is,Sichuan Academy of Medical Sciences and Sichuan Provincial People ’s Hospital
Medical Genetics,is,Haukeland University Hospital
complete tracheal sleeve resection,was,In our case performed with anastomosis below resected region
Epidermal growth factor receptor,is,receptor tyrosine kinase
in KSY treatment,suppress,lung cancer mouse model
Cine cardiac magnetic resonance images,showing,3 chamber view of left ventricle
Circulatory miR451,has,has introduced as diagnostic marker of cancer
USA Departments of Radiation Oncology,is,University of Texas Southwestern Medical Center
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % to 0.005 % in increasing DNA concentration assay from 0.25 ng μl
based metabolomics,reveal,protective effect of Saponins of Tribulus terrestris fruit against ischemic stroke in rat
Proton Therapy Center,is,Shizuoka Cancer Center
Okayama University Graduate School of Medicine,is,Dentistry and Pharmaceutical Sciences
Aurora kinase inhibition therapy,target,KRASG12V transformed cells
Tumor samples,were collected at,Instituto Nacional del Cancer
in MTE,is,Chinese medicine used
miRNAs,exert by,their biological functions
Clinical studies,have noted association with,responses after ICI treatment in cancer type
percutaneous endoluminal stent therapy,can quickly and effectively relieve symptoms For,superior vena cava syndrome
Radiation Oncology,of Department is,Shandong Cancer Hospital Affiliated to Shandong University
School of Medicine,is,Chang Gung University College of Medicine
Yue J Yu Z Tumor marker index,is significant factor for,patients with resectable squamous cell carcinoma Cancer Biomark Sect A Disease
Department of Laboratory Medicine,Department of,China Department of Pharmacy
Proper laryngeal anatomy,is,particularly crucial to normal physiology of aspiration
Department of Pathology,of Department is,Second Military Medical University
Thoracic Oncology,of Department is,West China Hospital
Department of Radiology,Department of,China Department of Radiology
Department of Medical Genetics,is,Harbin Medical University
biomarkers,are,with fast development of biopsy urgently needed for scale prospective studies
Human lung cell line BEAS 2B,cultured in,BEGM Bullet kit
Fine Needle Aspiration Cytology,has,has adopted as primary diagnostic procedure for breast
CT coronary angiography,rapidly alternative to,traditional invasive angiography
T cells observed,is indicative of,biologically relevant immune process
Biostatistics and Prevention Institute,Department of,Department of Epidemiology and Biostatistics
our electronic medical records system,identify,men treated at Yunnan cancer hospital
Tumour responses,were confirmed prospectively by,radiologist
Washington University School of Medicine,School of,Washington University School of Medicine
School of Medicine,is,Medical Sciences and Nutrition
Genetic based lethal therapy,are,Currently directly targeted at activated oncogenes
Department of Radiology,of Department is,"Department of Radiology , Obstetrics & Gynecology Hospital"
Li N Maly DJ Chanthery YH Sirkis DW Nakamura JL Berger MS Radiotherapy,followed by,aurora kinase inhibition targets cells in glioblastoma Mol Cancer Ther 2015 14 419 428
Veneto Cancer Registry,Institute of,National Institute of Gastroenterology - Research Hospital
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region for stabilization
Department of Thoracic Surgery,Hospital of,Chongqing Medical University
Department of Oncology,is,Institute of Medical Sciences
Immunoblot analysis,revealed,cancer specific MRS overexpression
CD146 T cells,were discovered,CCR7 designated as effector memory T cells
Clinical Medicine,of Department is,German Cancer Consortium
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted with Fc region for stabilization
Discussion Cardiac CT,offers,detailed anatomical assessment
based cancer immunotherapy,containing,sequence optimized mRNAs
laryngeal anatomy,is,particularly crucial to swallowing physiology of aspiration
Department of Surgery,School of,Osaka City University Graduate School of Medicine
BMS,is,Roche Pharma
Respiratory Medicine,of Department is,Hyogo Prefectural Amagasaki General Medical Center
Pembrolizumab,is,IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region
Cells,were,incubated with human anti-MAGE-A1 antibody in dark
Proton beam therapy Facilities,have grown rapidly,data exists in NSCLC
One biomarker discussed,may appear in,list for biofluid
Integrative genome analyses,identify,key somatic driver mutations of small cell lung cancer
Seoul Korea Institute for Innovative Cancer Research,is,Asan Medical Center
preoperative CRT,can,can performed in rectal SCC for improved disease control
B7H1 PD L1 polyclonal antibody,was purchased from,Santa Cruz Biotechnology
Department of Radiation Oncology,is,UT Southwestern Medical Center
Affymetrix Human Exon 1.0 ST array hybridisation,was,performed at Molecular Biology Core Facility of CRUK Manchester Institute
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted onto human IgG4 immunoglobulin molecule with engineered Fc region
peri-anal extramammary Paget 's disease,associated with,two differentiated sigmoid carcinomas
Krieg C cell analysis,predicts,response to immunotherapy Nat Med 2018
Immunohistochemical expression,were,performed only in regards to antibody
clinicopathological significance,is in,NSCLC tissues
Kanzaki M Kikkawa T Shimizu T Maeda H Wachi N Isaka T Presurgical planning,using,model of anatomy
Sanger sequencing method HPV genotypes,were determined by,Sanger sequencing method
Nemunaitis J Clayman G Agarwala SS Hrushesky W Wells JR Moore C Biomarkers,predict,p53 gene therapy efficacy in squamous cell carcinoma of head
Clinica Universidad de Navarra,Department of,Spain Department of Oncology
miRNAs,are,are increasingly used as directed therapies as diagnostic prognostic biomarkers
clinical variable model,showed performance based,based clinical variables
integrated genomic approach,identify,biomarkers of response to aurora kinase inhibitor
8227 leukemic cell line,was derived from,primary human AML with consent from donor
tumor genotyping panel,screen lung cancer patients in,clinical trials
Kisfalvi K Guha S Rozengurt E Neurotensin,induce stimulation by,duration in cancer cells J Cell Physiol 2005
cytological diagnosis,using,CT guided fine needle aspiration of primary tumor
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted with engineered Fc region for stabilization
human oral mucosal tissue protein,was purchased from,BioChain
miRNAs,contribute to,CXCL12 CXCR4 induced liver metastasis of cancer
Department of Radiation Oncology,is,Hangzhou Cancer Hospital
World Health Organization,classified IMA as,adenocarcinoma subtype
miRNAs,have,As matter have studied in cancers
Peter Doherty Institute for Infection and Immunity,at Department is,Peter MacCallum Cancer Centre
Klinikum der Universitaet Muenchen,is,Arbeitsgruppe Klinische Biochemie
Primary outcome fitness Cardiopulmonary fitness,will,will determined by maximal cardiopulmonary exercise test gold measure
Human KRAS shRNA Plasmid,is pool of,3 target specific vector plasmids
biomarkers,are,with development of biopsy urgently needed for large scale studies
extensive immuno oncology research,has,During past two decades has mainly focused on T cells
T cells,exhibit,infiltration with MSI in Signet ring cell carcinoma
growth factor receptor tyrosine kinase inhibitors,are,used in therapy for non-small cell lung cancer
Jebsen Center for Diabetes Research,Department of,Clinical Science
Stem Cell Transplantation Research Center,Department of,Department of Medical Mycology
Clinical tissue samples Real time PCR,measure raptor expression in,clinical tissue samples from patients
miRNAs,are,are applied as prognostic biomarkers
Pembrolizumab,is,is evaluated in early phase trials in combination with oral azacitadine in NSCLC
MUC16 CA125 antigen,is,already used serum marker for diagnosis of ovarian cancer
Critical Care Medicine,of Department is,Hubei Cancer Hospital
human IgG4 monoclonal antibodies,approved as,line therapy HNSCC US FDA
serum CYFRA 21 1 assay,has,In our department has performed at diagnostic workup after radiation based therapy since 2005
cortical MIAT,significantly reduced in,SCZ of temporal gyrus
Gene mutation information cBioPortal,calculate gene mutation rate in,cancer samples from TCGA database
based doublet chemotherapy,standard for,treatment with type growth factor receptor
B cells,are critical to,T cell mediated antitumor immunity induced by cytotoxic therapy
